"Trait","Multiple_R_Squared","Adjusted_R_Squared","F_Statistic","P_Value","Coefficient","Coefficient_P_Value"
"TL",0.375080310389503,0.307739826595268,5.56990816305384,0.000000000000228829083545408,-6.65852037929879,0.468314034143992
"UF",0.373960530065307,0.306499380287862,5.54334652313227,0.000000000000272370517528289,2.88806826556999,0.738441310603287
"BQ",0.377522361047245,0.310445029263543,5.6281660437032,0.000000000000156252490792867,-7.72848905356462,0.231376616959943
"ST",0.37679803166021,0.309642647140836,5.61083871914256,0.000000000000175013412139015,-9.97216437606318,0.280812092226153
"FE",0.37450778223137,0.307105603592509,5.55631568287982,0.00000000000025015827207432,-2.93755856961313,0.575262698982768
"CW",0.373667627319809,0.306174914746512,5.53641442272763,0.000000000000285045460740444,0.356236800308035,0.954780799299402
"BD",0.373695770666943,0.306206090781915,5.53708020698208,0.000000000000283802803654736,0.761319913370415,0.90710166406098
"LOC",0.376688951356984,0.30952181249459,5.60823280158934,0.000000000000178024542968835,-7.2367608674474,0.289350940567536
"BCS",0.374168095059787,0.30672931219985,5.5482628717795,0.000000000000263726040048509,2.66923522304382,0.664361498470688
"LP",0.385832967646707,0.319651175367257,5.82989602363055,0.0000000000000419445249767764,12.2619950442924,0.0330354703662402
"HL",0.37439880318081,0.306984881109776,5.55373121276506,0.000000000000254434480283541,3.42744161733234,0.600910162929277
"DHL",0.37367744017908,0.306185785025964,5.53664655773116,0.000000000000284611571195523,-0.591977557793722,0.934075334829574
"MSP",0.379300590678488,0.312414878467118,5.6708761578233,0.000000000000118186794363333,-7.23889520074828,0.147815197307055
"MT",0.373659513345023,0.306165926420995,5.53622248237633,0.000000000000285404723496756,-0.0976386134062892,0.988264197852332
"CA",0.375741696298735,0.308472482537823,5.58564126576823,0.000000000000206411737345027,6.07568979599766,0.379879869703972
"DCA",0.373659300059502,0.30616569015212,5.53621743706196,0.000000000000285414173158108,0.0802555291763688,0.990643241496265
"DF",0.374039176511614,0.306586501566745,5.54520894563968,0.000000000000269062783077798,2.36818057562771,0.707699620552386
"AFS",0.373829265538938,0.306353970877185,5.5402390965895,0.000000000000277980669768,1.58143801547973,0.801867006664281
"CTFS",0.374759961245317,0.307384957069166,5.56229963660576,0.000000000000240532518139966,4.0557716428204,0.52333866761611
"DO",0.373675655849182,0.306183808419137,5.53660434671751,0.000000000000284690419485669,0.522072337810914,0.937326111608167
"MR",0.373695700461643,0.306206013011389,5.5370785460681,0.000000000000283805896893249,0.629175224893734,0.907189819022966
"MDR",0.373885524691742,0.306416292438697,5.5415707605724,0.000000000000275562398065179,1.84953729198672,0.772255845245187
"CK",0.380190625590787,0.313400822313932,5.69234534221988,0.0000000000001027266611033,12.7333709369523,0.119272587678518
"SCK",0.375436286608694,0.308134162320838,5.57837201397872,0.000000000000216481069233687,-4.41614727622507,0.41731654040494
"DA",0.379139149509821,0.312236040620793,5.66698851227823,0.00000000000012122689693748,10.8037509970268,0.153769889043758
"HH",0.374075341565017,0.30662656371642,5.54606552552674,0.000000000000267555048261731,2.0230248697458,0.694778545281632
"DD",0.374283640682994,0.306857308860041,5.55100107871478,0.000000000000259031532534652,2.54021412383014,0.630773014240954
"IDD",0.375267660296615,0.307947365069957,5.57436147647811,0.000000000000222246312429426,3.7029600796193,0.440351899909786
"HHE",0.379557869189486,0.312699880955595,5.67707583216034,0.000000000000113496451038185,7.40035052932342,0.138852475698018
"SU",0.37368714101791,0.306196531213806,5.53687604990619,0.000000000000284183273948158,0.474553823261408,0.918663355940869
"TU",0.378572170809046,0.311607965077262,5.65335116980803,0.000000000000132526443966126,-5.20646386126838,0.176940507905062
"WL",0.373854768985466,0.306382222539934,5.5408427379759,0.000000000000276881838812123,1.26430284937878,0.787880072033804
"SH",0.373801536839182,0.30632325417099,5.53958284144932,0.000000000000279180248863841,1.03428426900638,0.818403971985448
"IH",0.377245640077835,0.310138489224153,5.62154159845603,0.000000000000163173729858246,-4.73549159113235,0.248896256129102
"CO",0.391361716376927,0.325775694434785,5.96715130431568,0.0000000000000172344179097051,-11.1849878662546,0.00998612974763671
"MET",0.374905483733587,0.307546160860052,5.56575493547428,0.000000000000235144797882561,-3.40141907973033,0.497065559908357
"FEED",0.37368184174272,0.30619066089603,5.53675068438291,0.000000000000284417161096246,0.394474636725213,0.926675310908506
"ME",0.37366576715714,0.306172854135281,5.53637041915965,0.000000000000285127783874748,-0.240197597194619,0.959901219633152
"BMR",0.389930667693156,0.324190437918712,5.93138583529467,0.0000000000000217203701429576,14.4612443821259,0.0135665341804124
