"","Category","ID","Term","adj_pvalue","id_ensembl"
"56","GO:MF","GO:0048185","activin binding",0.0326677443921016,"ENSBTAG00000019832"
"57","GO:MF","GO:0036312","phosphatidylinositol 3-kinase regulatory subunit binding",0.0326677443921016,"ENSBTAG00000019872"
"58","GO:MF","GO:0034713","type I transforming growth factor beta receptor binding",0.0326677443921016,"ENSBTAG00000019832"
"59","GO:MF","GO:0017002","activin receptor activity",0.0326677443921016,"ENSBTAG00000019832"
"60","GO:MF","GO:0005024","transforming growth factor beta receptor activity",0.0326677443921016,"ENSBTAG00000019832"
"61","GO:MF","GO:0050431","transforming growth factor beta binding",0.0461234247316476,"ENSBTAG00000019832"
"62","GO:MF","GO:0043548","phosphatidylinositol 3-kinase binding",0.0461234247316476,"ENSBTAG00000019872"
"63","GO:MF","GO:0016638","oxidoreductase activity, acting on the CH-NH2 group of donors",0.0461234247316476,"ENSBTAG00000007540"
"64","GO:MF","GO:0005160","transforming growth factor beta receptor binding",0.0461234247316476,"ENSBTAG00000019832"
"65","GO:MF","GO:0004675","transmembrane receptor protein serine/threonine kinase activity",0.0461234247316476,"ENSBTAG00000019832"
"66","REAC","REAC:R-BTA-2243919","Crosslinking of collagen fibrils",0.0440084491310072,"ENSBTAG00000011743"
"67","REAC","REAC:R-BTA-2173788","Downregulation of TGF-beta receptor signaling",0.0440084491310072,"ENSBTAG00000019832"
"68","REAC","REAC:R-BTA-8964539","Glutamate and glutamine metabolism",0.0440084491310072,"ENSBTAG00000007540"
"69","REAC","REAC:R-BTA-112308","Presynaptic depolarization and calcium channel opening",0.0440084491310072,"ENSBTAG00000013117"
"70","REAC","REAC:R-BTA-2151201","Transcriptional activation of mitochondrial biogenesis",0.0440084491310072,"ENSBTAG00000007540"
"71","REAC","REAC:R-BTA-2173791","TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)",0.0440084491310072,"ENSBTAG00000019832"
